#options: 2560x1440 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2436 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:80 out:81 type:b dur:2 cpbdur:2 q:54.21 aq:50.47 tex:10943 mv:13271 misc:5338 imb:379 pmb:1123 smb:12898 d:- ref:0 ;
in:85 out:82 type:P dur:2 cpbdur:2 q:54.05 aq:49.68 tex:34486 mv:18327 misc:7395 imb:4141 pmb:441 smb:9818 d:- ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:54.11 aq:50.06 tex:18422 mv:19693 misc:6973 imb:846 pmb:1528 smb:12026 d:- ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:54.13 aq:50.69 tex:14048 mv:15666 misc:5870 imb:512 pmb:1342 smb:12546 d:- ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:54.08 aq:49.99 tex:13416 mv:15506 misc:6046 imb:576 pmb:1207 smb:12617 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:53.95 aq:49.43 tex:23752 mv:14612 misc:7900 imb:2389 pmb:513 smb:11498 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:53.95 aq:49.15 tex:37832 mv:21333 misc:8243 imb:4663 pmb:521 smb:9216 d:- ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:53.95 aq:49.50 tex:17630 mv:21471 misc:7483 imb:829 pmb:1598 smb:11973 d:- ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:53.95 aq:50.29 tex:9599 mv:12704 misc:5601 imb:284 pmb:1203 smb:12913 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:53.95 aq:50.54 tex:15442 mv:18040 misc:6670 imb:602 pmb:1422 smb:12376 d:- ref:0 ;
in:94 out:91 type:P dur:2 cpbdur:2 q:53.88 aq:49.40 tex:36692 mv:19637 misc:8575 imb:3997 pmb:534 smb:9869 d:- ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:53.92 aq:49.67 tex:17112 mv:17105 misc:6935 imb:675 pmb:1470 smb:12255 d:- ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:53.93 aq:50.36 tex:13480 mv:13108 misc:5852 imb:400 pmb:1248 smb:12752 d:- ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:53.90 aq:50.06 tex:13825 mv:11647 misc:6056 imb:271 pmb:1335 smb:12794 d:- ref:0 ;
in:96 out:95 type:P dur:2 cpbdur:2 q:53.80 aq:48.63 tex:27163 mv:15208 misc:8413 imb:2671 pmb:505 smb:11224 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:53.84 aq:50.06 tex:12311 mv:11249 misc:5728 imb:290 pmb:1190 smb:12920 d:- ref:0 ;
in:99 out:97 type:P dur:2 cpbdur:2 q:53.88 aq:47.97 tex:37643 mv:19475 misc:9730 imb:3507 pmb:576 smb:10317 d:- ref:0 ;
in:97 out:98 type:B dur:2 cpbdur:2 q:53.83 aq:48.97 tex:12837 mv:12144 misc:5955 imb:330 pmb:1253 smb:12817 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:53.86 aq:49.97 tex:11467 mv:10178 misc:5435 imb:253 pmb:1118 smb:13029 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:53.95 aq:49.09 tex:18084 mv:12006 misc:7382 imb:1780 pmb:446 smb:12174 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:54.00 aq:48.94 tex:15391 mv:10801 misc:6960 imb:1473 pmb:439 smb:12488 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:54.02 aq:48.74 tex:12939 mv:9286 misc:6159 imb:1132 pmb:427 smb:12841 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:54.01 aq:49.04 tex:16450 mv:10797 misc:6905 imb:1523 pmb:446 smb:12431 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:54.03 aq:49.05 tex:12877 mv:9078 misc:6237 imb:1119 pmb:446 smb:12835 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:54.11 aq:49.29 tex:16616 mv:10277 misc:6827 imb:1503 pmb:391 smb:12506 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:54.15 aq:49.46 tex:13406 mv:9042 misc:6048 imb:1223 pmb:370 smb:12807 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:54.13 aq:49.07 tex:13294 mv:9309 misc:6125 imb:1134 pmb:417 smb:12849 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:54.13 aq:48.77 tex:17922 mv:11826 misc:6820 imb:1527 pmb:491 smb:12382 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:54.20 aq:49.49 tex:15571 mv:10333 misc:6216 imb:1379 pmb:432 smb:12589 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:54.20 aq:48.76 tex:22717 mv:13267 misc:6704 imb:2014 pmb:479 smb:11907 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:54.20 aq:48.93 tex:22928 mv:13922 misc:6246 imb:1900 pmb:524 smb:11976 d:- ref:0 ;
in:113 out:112 type:P dur:2 cpbdur:2 q:54.17 aq:49.26 tex:39548 mv:21053 misc:6239 imb:3521 pmb:661 smb:10218 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:54.19 aq:50.59 tex:18309 mv:19053 misc:5846 imb:618 pmb:1673 smb:12109 d:- ref:0 ;
